observation_date,IRLTLT01CHM156N
1955-01-01,2.700
1955-02-01,2.750
1955-03-01,2.840
1955-04-01,2.850
1955-05-01,2.990
1955-06-01,3.060
1955-07-01,3.040
1955-08-01,3.080
1955-09-01,3.200
1955-10-01,3.170
1955-11-01,3.070
1955-12-01,3.040
1956-01-01,2.940
1956-02-01,2.910
1956-03-01,2.970
1956-04-01,3.060
1956-05-01,3.140
1956-06-01,3.180
1956-07-01,3.180
1956-08-01,3.240
1956-09-01,3.210
1956-10-01,3.220
1956-11-01,3.230
1956-12-01,3.220
1957-01-01,3.220
1957-02-01,3.160
1957-03-01,3.590
1957-04-01,3.550
1957-05-01,3.800
1957-06-01,3.770
1957-07-01,3.790
1957-08-01,3.870
1957-09-01,3.930
1957-10-01,3.920
1957-11-01,3.800
1957-12-01,3.610
1958-01-01,3.490
1958-02-01,3.410
1958-03-01,3.340
1958-04-01,3.240
1958-05-01,3.200
1958-06-01,3.030
1958-07-01,3.040
1958-08-01,3.040
1958-09-01,3.020
1958-10-01,3.000
1958-11-01,3.030
1958-12-01,3.000
1959-01-01,2.980
1959-02-01,2.910
1959-03-01,2.850
1959-04-01,2.830
1959-05-01,3.140
1959-06-01,3.220
1959-07-01,3.140
1959-08-01,3.060
1959-09-01,3.160
1959-10-01,3.170
1959-11-01,3.170
1959-12-01,3.290
1960-01-01,3.320
1960-02-01,3.300
1960-03-01,3.220
1960-04-01,3.130
1960-05-01,3.070
1960-06-01,3.040
1960-07-01,2.970
1960-08-01,2.940
1960-09-01,3.010
1960-10-01,3.050
1960-11-01,3.040
1960-12-01,3.020
1961-01-01,2.960
1961-02-01,2.860
1961-03-01,2.840
1961-04-01,2.820
1961-05-01,2.860
1961-06-01,2.970
1961-07-01,3.130
1961-08-01,3.100
1961-09-01,2.970
1961-10-01,2.970
1961-11-01,3.010
1961-12-01,2.980
1962-01-01,2.960
1962-02-01,2.990
1962-03-01,3.100
1962-04-01,3.250
1962-05-01,3.140
1962-06-01,3.260
1962-07-01,3.190
1962-08-01,3.140
1962-09-01,3.110
1962-10-01,3.120
1962-11-01,3.110
1962-12-01,3.120
1963-01-01,3.140
1963-02-01,3.130
1963-03-01,3.100
1963-04-01,3.100
1963-05-01,3.140
1963-06-01,3.150
1963-07-01,3.220
1963-08-01,3.250
1963-09-01,3.330
1963-10-01,3.440
1963-11-01,3.420
1963-12-01,3.540
1964-01-01,3.640
1964-02-01,3.800
1964-03-01,3.890
1964-04-01,3.880
1964-05-01,4.020
1964-06-01,4.050
1964-07-01,4.040
1964-08-01,4.050
1964-09-01,4.050
1964-10-01,4.080
1964-11-01,4.080
1964-12-01,4.070
1965-01-01,4.040
1965-02-01,3.940
1965-03-01,3.910
1965-04-01,3.920
1965-05-01,3.920
1965-06-01,3.920
1965-07-01,3.920
1965-08-01,3.920
1965-09-01,3.940
1965-10-01,3.960
1965-11-01,3.980
1965-12-01,3.980
1966-01-01,3.980
1966-02-01,3.980
1966-03-01,3.980
1966-04-01,4.010
1966-05-01,4.020
1966-06-01,4.040
1966-07-01,4.160
1966-08-01,4.240
1966-09-01,4.270
1966-10-01,4.360
1966-11-01,4.400
1966-12-01,4.530
1967-01-01,4.740
1967-02-01,4.740
1967-03-01,4.720
1967-04-01,4.690
1967-05-01,4.680
1967-06-01,4.750
1967-07-01,4.600
1967-08-01,4.480
1967-09-01,4.320
